keyword,count
impact,136
china,99
model,83
prevalence,83
urbanization,76
system,76
air pollution,72
health,67
urban,63
smart city,62
management,62
exposure,56
performance,56
risk,54
pollution,51
area,50
quality,49
heavy metal,48
mortality,48
child,46
pattern,46
climate change,45
particulate matter,42
association,41
ecosystem service,40
risk factor,37
optimization,36
growth,36
pm2.5,35
sustainability,35
population,34
land use,34
policy,34
design,33
gis,33
disease,32
space,32
governance,32
temperature,31
simulation,31
framework,31
knowledge,31
dynamic,30
energy,30
community,30
physical activity,30
epidemiology,30
water,29
network,29
environment,29
